941
186, 174
575, 246
305, 624
305, 575, 2
183, 152, 0
271, 599, 2
261, 633, 2
163, 212, 0
337, 637, 2
583, 269, 1
206, 188, 0
177, 138, 0
333, 604, 2
292, 612, 2
554, 268, 1
567, 262, 1
620, 267, 1
584, 199, 1
289, 641, 2
553, 241, 1
290, 596, 2
242, 132, 0
293, 667, 2
597, 213, 1
569, 255, 1
211, 227, 0
315, 612, 2
242, 179, 0
600, 264, 1
305, 686, 2
201, 176, 0
181, 184, 0
592, 239, 1
289, 589, 2
312, 635, 2
600, 259, 1
287, 632, 2
330, 633, 2
516, 268, 1
302, 651, 2
575, 238, 1
588, 250, 1
271, 642, 2
181, 163, 0
521, 311, 1
186, 142, 0
171, 193, 0
225, 196, 0
190, 187, 0
244, 143, 0
182, 164, 0
607, 201, 1
193, 194, 0
344, 656, 2
276, 670, 2
180, 192, 0
300, 657, 2
573, 292, 1
586, 226, 1
174, 161, 0
318, 647, 2
218, 218, 0
112, 147, 0
256, 204, 0
246, 626, 2
576, 230, 1
179, 142, 0
321, 626, 2
568, 236, 1
230, 665, 2
593, 204, 1
580, 220, 1
283, 590, 2
543, 266, 1
575, 214, 1
559, 240, 1
573, 269, 1
557, 257, 1
360, 585, 2
280, 634, 2
222, 160, 0
558, 265, 1
560, 255, 1
589, 234, 1
288, 580, 2
564, 283, 1
297, 647, 2
287, 595, 2
596, 257, 1
182, 193, 0
569, 291, 1
308, 556, 2
289, 597, 2
177, 173, 0
566, 235, 1
186, 208, 0
264, 638, 2
304, 611, 2
281, 628, 2
603, 269, 1
350, 643, 2
314, 643, 2
501, 225, 1
574, 279, 1
154, 209, 0
347, 621, 2
565, 219, 1
177, 190, 0
331, 607, 2
339, 607, 2
296, 607, 2
219, 198, 0
575, 264, 1
147, 140, 0
190, 149, 0
177, 161, 0
348, 631, 2
258, 639, 2
342, 638, 2
164, 197, 0
381, 627, 2
565, 265, 1
166, 180, 0
573, 221, 1
566, 247, 1
198, 177, 0
572, 214, 1
610, 239, 1
